cr,name,type,size,alignment,armor_class,hit_points,speed,initiative_bonus,ability_stats,blockers,mechanics,ability_names,traits,actions,bonus_actions,reactions,legendary_actions,raw_text,source_reference
7,Stone Giant,Giant,Huge,Neutral,17,126 (11d12 + 55),40 ft.,5,"{""str"":{""score"":23,""mod"":6,""save"":6},""dex"":{""score"":15,""mod"":2,""save"":5},""con"":{""score"":20,""mod"":5,""save"":8},""int"":{""score"":10,""mod"":0,""save"":0},""wis"":{""score"":12,""mod"":1,""save"":4},""cha"":{""score"":9,""mod"":-1,""save"":-1}}",condition-or-control | limited-use | reaction,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:force | damage:slashing | multiattack | recharge | saving-throw | zero-hp-effect,action:Multiattack | action:Stone Club | action:Boulder | reaction:Deflect Missile (Recharge 5-6),,"Multiattack. The giant makes two attacks, using Stone Club or Boulder in any combination. Stone Club. Melee Attack Roll: +9, reach 15 ft. Hit: 22 (3d10 + 6) Bludgeoning damage. Boulder. Ranged Attack Roll: +9, range 60/240 ft. Hit: 15 (2d8 + 6) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.",,"Deflect Missile (Recharge 5-6). Trigger: The giant is hit by a ranged attack roll and takes Bludgeoning, Piercing, or Slashing damage from it. Response: The giant reduces the damage it takes from the attack by 11 (1d10 + 6), and if that damage is reduced to 0, the giant can redirect some of the attack’s force. Dexterity Saving Throw: DC 17, one creature the giant can see within 60 feet. Failure: 11 (1d10 + 6) Force damage.",,"AC 17 Initiative +5 (15) HP 126 (11d12 + 55) Speed 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 23 +6 +6 Dex 15 +2 +5 Con 20 +5 +8 Int 10 +0 +0 Wis 12 +1 +4 Cha 9 -1 -1 Skills Athletics +12, Perception +4, Stealth +5 Senses Darkvision 60 ft.; Passive Perception 14 Languages Giant CR 7 (XP 2,900; PB +3) Actions Multiattack. The giant makes two attacks, using Stone Club or Boulder in any combination. Stone Club. Melee Attack Roll: +9, reach 15 ft. Hit: 22 (3d10 + 6) Bludgeoning damage. Boulder. Ranged Attack Roll: +9, range 60/240 ft. Hit: 15 (2d8 + 6) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition. Reactions Deflect Missile (Recharge 5-6). Trigger: The giant is hit by a ranged attack roll and takes Bludgeoning, Piercing, or Slashing damage from it. Response: The giant reduces the damage it takes from the attack by 11 (1d10 + 6), and if that damage is reduced to 0, the giant can redirect some of the attack’s force. Dexterity Saving Throw: DC 17, one creature the giant can see within 60 feet. Failure: 11 (1d10 + 6) Force damage.",SRD 5.2.1 p. 330
7,Young Copper Dragon,Dragon (Metallic),Large,Chaotic Good,17,119 (14d10 + 42),"40 ft., Climb 40 ft., Fly 80 ft.",4,"{""str"":{""score"":19,""mod"":4,""save"":4},""dex"":{""score"":12,""mod"":1,""save"":4},""con"":{""score"":17,""mod"":3,""save"":3},""int"":{""score"":16,""mod"":3,""save"":3},""wis"":{""score"":13,""mod"":1,""save"":4},""cha"":{""score"":15,""mod"":2,""save"":2}}",limited-use | save-or-complex-action,attack-roll | bonus-action | damage | damage:acid | damage:slashing | multiattack | recharge | saving-throw,action:Multiattack | action:Rend | action:Acid Breath (Recharge 5-6) | action:Slowing Breath,,"Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Slowing Breath. Rend. Melee Attack Roll: +7, reach 10 ft. Hit: 15 (2d10 + 4) Slashing damage. Acid Breath (Recharge 5-6). Dexterity Saving Throw: DC 14, each creature in a 40-foot-long, 5-foot-wide Line. Failure: 40 (9d8) Acid damage. Success: Half damage. Slowing Breath. Constitution Saving Throw: DC 14, each creature in a 30-foot Cone. Failure: The target can’t take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.",,,,"AC 17 Initiative +4 (14) HP 119 (14d10 + 42) Speed 40 ft., Climb 40 ft., Fly 80 ft. MOD SAVE MOD SAVE MOD SAVE Str 19 +4 +4 Dex 12 +1 +4 Con 17 +3 +3 Int 16 +3 +3 Wis 13 +1 +4 Cha 15 +2 +2 Skills Deception +5, Perception +7, Stealth +4 Immunities Acid Senses Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 17 Languages Common, Draconic CR 7 (XP 2,900; PB +3) Actions Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Slowing Breath. Rend. Melee Attack Roll: +7, reach 10 ft. Hit: 15 (2d10 + 4) Slashing damage. Acid Breath (Recharge 5-6). Dexterity Saving Throw: DC 14, each creature in a 40-foot-long, 5-foot-wide Line. Failure: 40 (9d8) Acid damage. Success: Half damage. Slowing Breath. Constitution Saving Throw: DC 14, each creature in a 30-foot Cone. Failure: The target can’t take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.",SRD 5.2.1 p. 276
8,Assassin,Humanoid,Medium or Small,Neutral,16,97 (15d8 + 30),30 ft.,10,"{""str"":{""score"":11,""mod"":0,""save"":0},""dex"":{""score"":18,""mod"":4,""save"":7},""con"":{""score"":14,""mod"":2,""save"":2},""int"":{""score"":16,""mod"":3,""save"":6},""wis"":{""score"":11,""mod"":0,""save"":0},""cha"":{""score"":10,""mod"":0,""save"":0}}",condition-or-control | trait,attack-roll | condition:incapacitated | condition:poisoned | damage | damage:piercing | damage:poison | multiattack | saving-throw,trait:Evasion | action:Multiattack | action:Shortsword | action:Light Crossbow,"Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the save and only half damage if it fails. It can’t use this trait if it has the Incapacitated condition.","Multiattack. The assassin makes three attacks, using Shortsword or Light Crossbow in any combination. Shortsword. Melee Attack Roll: +7, reach 5 ft. Hit: 7 (1d6 + 4) Piercing damage plus 17 (5d6) Poison damage, and the target has the Poisoned condition until the start of the assassin’s next turn. Light Crossbow. Ranged Attack Roll: +7, range 80/320 ft. Hit: 8 (1d8 + 4) Piercing damage plus 21 (6d6) Poison damage.","Cunning Action. The assassin takes the Dash, Disengage, or Hide action.",,,"AC 16 Initiative +10 (20) HP 97 (15d8 + 30) Speed 30 ft. MOD SAVE MOD SAVE MOD SAVE Str 11 +0 +0 Dex 18 +4 +7 Con 14 +2 +2 Int 16 +3 +6 Wis 11 +0 +0 Cha 10 +0 +0 Skills Acrobatics +7, Perception +6, Stealth +10 Resistances Poison Gear Light Crossbow, Shortsword, Studded Leather Armor Senses Passive Perception 16 Languages Common, Thieves’ Cant CR 8 (XP 3,900; PB +3) Traits Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the save and only half damage if it fails. It can’t use this trait if it has the Incapacitated condition. Actions Multiattack. The assassin makes three attacks, using Shortsword or Light Crossbow in any combination. Shortsword. Melee Attack Roll: +7, reach 5 ft. Hit: 7 (1d6 + 4) Piercing damage plus 17 (5d6) Poison damage, and the target has the Poisoned condition until the start of the assassin’s next turn. Light Crossbow. Ranged Attack Roll: +7, range 80/320 ft. Hit: 8 (1d8 + 4) Piercing damage plus 21 (6d6) Poison damage. Bonus Actions Cunning Action. The assassin takes the Dash, Disengage, or Hide action.",SRD 5.2.1 p. 260
8,Chain Devil,Fiend (Devil),Medium,Lawful Evil,15,85 (10d8 + 40),30 ft.,5,"{""str"":{""score"":18,""mod"":4,""save"":4},""dex"":{""score"":15,""mod"":2,""save"":2},""con"":{""score"":18,""mod"":4,""save"":7},""int"":{""score"":11,""mod"":0,""save"":0},""wis"":{""score"":12,""mod"":1,""save"":4},""cha"":{""score"":14,""mod"":2,""save"":2}}",condition-or-control | reaction | save-or-complex-action,advantage | attack-roll | aura | condition:frightened | condition:grappled | condition:restrained | damage | damage:fire | damage:slashing | end-turn | immunity | multiattack | saving-throw,trait:Diabolical Restoration | trait:Magic Resistance | action:Multiattack | action:Chain | action:Conjure Infernal Chain | reaction:Unnerving Gaze | statblock:Damage Defenses,"Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells. Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes two Chain attacks and uses Conjure Infernal Chain. Chain. Melee Attack Roll: +7, reach 10 ft. Hit: 11 (2d6 + 4) Slashing damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two chains, and it has the Restrained condition until the grapple ends. Conjure Infernal Chain. The devil conjures a fiery chain to bind a creature. Dexterity Saving Throw: DC 15, one creature the devil can see within 60 feet. Failure: 9 (2d4 + 4) Fire damage, and the target has the Restrained condition until the end of the devil’s next turn, at which point the chain disappears. If the target is Large or smaller, the devil moves the target up to 30 feet straight toward itself. Success: The chain disappears.",,"Unnerving Gaze. Trigger: A creature the devil can see starts its turn within 30 feet of the devil and can see the devil. Response-Wisdom Saving Throw: DC 15, the triggering creature. Failure: The target has the Frightened condition until the end of its turn. Success: The target is immune to this devil’s Unnerving Gaze for 24 hours.",,"AC 15 Initiative +5 (15) HP 85 (10d8 + 40) Speed 30 ft.

MOD SAVE MOD SAVE MOD SAVE Str 18 +4 +4 Dex 15 +2 +2 Con 18 +4 +7 Int 11 +0 +0 Wis 12 +1 +4 Cha 14 +2 +2 Resistances Bludgeoning, Cold, Piercing, Slashing Immunities Fire, Poison; Poisoned Senses Darkvision 120 ft. (unimpeded by magical Darkness); Passive Perception 11 Languages Infernal; telepathy 120 ft. CR 8 (XP 3,900; PB +3) Traits Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells. Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects. Actions Multiattack. The devil makes two Chain attacks and uses Conjure Infernal Chain. Chain. Melee Attack Roll: +7, reach 10 ft. Hit: 11 (2d6 + 4) Slashing damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two chains, and it has the Restrained condition until the grapple ends. Conjure Infernal Chain. The devil conjures a fiery chain to bind a creature. Dexterity Saving Throw: DC 15, one creature the devil can see within 60 feet. Failure: 9 (2d4 + 4) Fire damage, and the target has the Restrained condition until the end of the devil’s next turn, at which point the chain disappears. If the target is Large or smaller, the devil moves the target up to 30 feet straight toward itself. Success: The chain disappears. Reactions Unnerving Gaze. Trigger: A creature the devil can see starts its turn within 30 feet of the devil and can see the devil. Response-Wisdom Saving Throw: DC 15, the triggering creature. Failure: The target has the Frightened condition until the end of its turn. Success: The target is immune to this devil’s Unnerving Gaze for 24 hours.",SRD 5.2.1 p. 272
8,Cloaker,Aberration,Large,Chaotic Neutral,14,91 (14d10 + 14),"10 ft., Fly 40 ft.",5,"{""str"":{""score"":17,""mod"":3,""save"":3},""dex"":{""score"":15,""mod"":2,""save"":2},""con"":{""score"":12,""mod"":1,""save"":1},""int"":{""score"":13,""mod"":1,""save"":1},""wis"":{""score"":14,""mod"":2,""save"":2},""cha"":{""score"":7,""mod"":-2,""save"":-2}}",attachment-state | bonus-action | condition-or-control | spellcasting | trait,attachment-state | attack-roll | aura | condition:blinded | condition:frightened | damage | damage:piercing | damage:slashing | disadvantage | immunity | multiattack | saving-throw | spellcasting,trait:Light Sensitivity | action:Multiattack | action:Attach | action:Tail | bonus-action:Moan | bonus-action:Phantasms (Recharge after a Short or Long Rest) | statblock:Damage Defenses,"Light Sensitivity. While in Bright Light, the cloaker has Disadvantage on attack rolls.","Multiattack. The cloaker makes one Attach attack and two Tail attacks. Attach. Melee Attack Roll: +6, reach 5 ft. Hit: 13 (3d6 + 3) Piercing damage. If the target is a Large or smaller creature, the cloaker attaches to it. While the cloaker is attached, the target has the Blinded condition, and the cloaker can’t make Attach attacks against other targets. In addition, the cloaker halves the damage it takes (round down), and the target takes the same amount of damage. The cloaker can detach itself by spending 5 feet of movement. The target or a creature within 5 feet of it can take an action to try to detach the cloaker, doing so by succeeding on a DC 14 Strength (Athletics) check. Tail. Melee Attack Roll: +6, reach 10 ft. Hit: 8 (1d10 + 3) Slashing damage.","Moan. Wisdom Saving Throw: DC 13, each creature in a 60-foot Emanation originating from the cloaker. Failure: The target has the Frightened condition until the end of the cloaker’s next turn. Success: The target is immune to this cloaker’s Moan for the next 24 hours. Phantasms (Recharge after a Short or Long Rest). The cloaker casts the Mirror Image spell, requiring no spell components and using Wisdom as the spellcasting ability. The spell ends early if the cloaker starts or ends its turn in Bright Light.",,,"AC 14 Initiative +5 (15) HP 91 (14d10 + 14) Speed 10 ft., Fly 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 17 +3 +3 Dex 15 +2 +2 Con 12 +1 +1 Int 13 +1 +1 Wis 14 +2 +2 Cha 7 -2 -2 Skills Stealth +5 Immunities Frightened Senses Darkvision 120 ft.; Passive Perception 12 Languages Deep Speech, Undercommon CR 8 (XP 3,900; PB +3) Traits Light Sensitivity. While in Bright Light, the cloaker has Disadvantage on attack rolls. Actions Multiattack. The cloaker makes one Attach attack and two Tail attacks. Attach. Melee Attack Roll: +6, reach 5 ft. Hit: 13 (3d6 + 3) Piercing damage. If the target is a Large or smaller creature, the cloaker attaches to it. While the cloaker is attached, the target has the Blinded condition, and the cloaker can’t make Attach attacks against other targets. In addition, the cloaker halves the damage it takes (round down), and the target takes the same amount of damage. The cloaker can detach itself by spending 5 feet of movement. The target or a creature within 5 feet of it can take an action to try to detach the cloaker, doing so by succeeding on a DC 14 Strength (Athletics) check. Tail. Melee Attack Roll: +6, reach 10 ft. Hit: 8 (1d10 + 3) Slashing damage. Bonus Actions Moan. Wisdom Saving Throw: DC 13, each creature in a 60-foot Emanation originating from the cloaker. Failure: The target has the Frightened condition until the end of the cloaker’s next turn. Success: The target is immune to this cloaker’s Moan for the next 24 hours. Phantasms (Recharge after a Short or Long Rest). The cloaker casts the Mirror Image spell, requiring no spell components and using Wisdom as the spellcasting ability. The spell ends early if the cloaker starts or ends its turn in Bright Light.",SRD 5.2.1 p. 274
8,Frost Giant,Giant,Huge,Neutral Evil,15,149 (13d12 + 65),40 ft.,2,"{""str"":{""score"":23,""mod"":6,""save"":6},""dex"":{""score"":9,""mod"":-1,""save"":-1},""con"":{""score"":21,""mod"":5,""save"":8},""int"":{""score"":9,""mod"":-1,""save"":-1},""wis"":{""score"":10,""mod"":0,""save"":3},""cha"":{""score"":12,""mod"":1,""save"":4}}",bonus-action | limited-use,advantage | attack-roll | damage | damage:cold | damage:piercing | damage:slashing | multiattack | recharge | temporary-hp,action:Multiattack | action:Frost Axe | action:Great Bow | bonus-action:War Cry (Recharge 5-6),,"Multiattack. The giant makes two attacks, using Frost Axe or Great Bow in any combination. Frost Axe. Melee Attack Roll: +9, reach 10 ft. Hit: 19 (2d12 + 6) Slashing damage plus 9 (2d8) Cold damage. Great Bow. Ranged Attack Roll: +9, range 150/600 ft. Hit: 17 (2d10 + 6) Piercing damage plus 7 (2d6) Cold damage, and the target’s Speed decreases by 10 feet until the end of its next turn.",War Cry (Recharge 5-6). The giant or one creature of its choice that can see or hear it gains 16 (2d10 + 5) Temporary Hit Points and has Advantage on attack rolls until the start of the giant’s next turn.,,,"AC 15 Initiative +2 (12) HP 149 (13d12 + 65) Speed 40 ft.

MOD SAVE MOD SAVE MOD SAVE Str 23 +6 +6 Dex 9 -1 -1 Con 21 +5 +8 Int 9 -1 -1 Wis 10 +0 +3 Cha 12 +1 +4 Skills Athletics +9, Perception +3 Immunities Cold Senses Passive Perception 13 Languages Giant CR 8 (XP 3,900; PB +3) Actions Multiattack. The giant makes two attacks, using Frost Axe or Great Bow in any combination. Frost Axe. Melee Attack Roll: +9, reach 10 ft. Hit: 19 (2d12 + 6) Slashing damage plus 9 (2d8) Cold damage. Great Bow. Ranged Attack Roll: +9, range 150/600 ft. Hit: 17 (2d10 + 6) Piercing damage plus 7 (2d6) Cold damage, and the target’s Speed decreases by 10 feet until the end of its next turn. Bonus Actions War Cry (Recharge 5-6). The giant or one creature of its choice that can see or hear it gains 16 (2d10 + 5) Temporary Hit Points and has Advantage on attack rolls until the start of the giant’s next turn.",SRD 5.2.1 p. 285
8,Hydra,Monstrosity,Huge,Unaligned,15,184 (16d12 + 80),"40 ft., Swim 40 ft.",4,"{""str"":{""score"":20,""mod"":5,""save"":5},""dex"":{""score"":12,""mod"":1,""save"":1},""con"":{""score"":20,""mod"":5,""save"":5},""int"":{""score"":2,""mod"":-4,""save"":-4},""wis"":{""score"":10,""mod"":0,""save"":0},""cha"":{""score"":7,""mod"":-2,""save"":-2}}",trait,attack-roll | damage | damage:fire | damage:piercing | healing | multiattack | reaction,trait:Multiple Heads | trait:Reactive Heads | action:Multiattack | action:Bite,"Hold Breath. The hydra can hold its breath for 1 hour. Multiple Heads. The hydra has five heads. Whenever the hydra takes 25 damage or more on a single turn, one of its heads dies. The hydra dies if all its heads are dead. At the end of each of its turns when it has at least one living head, the hydra grows two heads for each of its heads that died since its last turn, unless it has taken Fire damage since its last turn. The hydra regains 20 Hit Points when it grows new heads. Reactive Heads. For each head the hydra has beyond one, it gets an extra Reaction that can be used only for Opportunity Attacks.","Multiattack. The hydra makes as many Bite attacks as it has heads. Bite. Melee Attack Roll: +8, reach 10 ft. Hit: 10 (1d10 + 5) Piercing damage.",,,,"AC 15 Initiative +4 (14) HP 184 (16d12 + 80) Speed 40 ft., Swim 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 20 +5 +5 Dex 12 +1 +1 Con 20 +5 +5 Int 2 -4 -4 Wis 10 +0 +0 Cha 7 -2 -2 Skills Perception +6 Immunities Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious Senses Darkvision 60 ft.; Passive Perception 16 Languages None CR 8 (XP 3,900; PB +3) Traits Hold Breath. The hydra can hold its breath for 1 hour. Multiple Heads. The hydra has five heads. Whenever the hydra takes 25 damage or more on a single turn, one of its heads dies. The hydra dies if all its heads are dead. At the end of each of its turns when it has at least one living head, the hydra grows two heads for each of its heads that died since its last turn, unless it has taken Fire damage since its last turn. The hydra regains 20 Hit Points when it grows new heads. Reactive Heads. For each head the hydra has beyond one, it gets an extra Reaction that can be used only for Opportunity Attacks. Actions Multiattack. The hydra makes as many Bite attacks as it has heads. Bite. Melee Attack Roll: +8, reach 10 ft. Hit: 10 (1d10 + 5) Piercing damage.",SRD 5.2.1 p. 300
8,Spirit Naga,Fiend,Large,Chaotic Evil,17,135 (18d10 + 36),40 ft.,3,"{""str"":{""score"":18,""mod"":4,""save"":4},""dex"":{""score"":17,""mod"":3,""save"":6},""con"":{""score"":14,""mod"":2,""save"":5},""int"":{""score"":16,""mod"":3,""save"":3},""wis"":{""score"":15,""mod"":2,""save"":5},""cha"":{""score"":16,""mod"":3,""save"":6}}",spellcasting | trait,attack-roll | damage | damage:necrotic | damage:piercing | damage:poison | limited-use | multiattack | spellcasting,trait:Fiendish Restoration | action:Multiattack | action:Bite | action:Necrotic Ray | action:Spellcasting,"Fiendish Restoration. If it dies, the naga returns to life in 1d6 days and regains all its Hit Points. Only a Wish spell can prevent this trait from functioning.","Multiattack. The naga makes three attacks, using Bite or Necrotic Ray in any combination. Bite. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Piercing damage plus 14 (4d6) Poison damage. Necrotic Ray. Ranged Attack Roll: +6, range 60 ft. Hit: 21 (6d6) Necrotic damage. Spellcasting. The naga casts one of the following spells, requiring no Somatic or Material components and using Intelligence as the spellcasting ability (spell save DC 14): At Will: Detect Magic, Mage Hand, Minor Illusion, Water Breathing 2/Day Each: Detect Thoughts, Dimension Door, Hold Person (level 3 version), Lightning Bolt (level 4 version)",,,,"AC 17 Initiative +3 (13) HP 135 (18d10 + 36) Speed 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 18 +4 +4 Dex 17 +3 +6 Con 14 +2 +5 Int 16 +3 +3 Wis 15 +2 +5 Cha 16 +3 +6 Immunities Poison; Charmed, Poisoned Senses Darkvision 60 ft.; Passive Perception 12 Languages Abyssal, Common CR 8 (XP 3,900; PB +3) Traits Fiendish Restoration. If it dies, the naga returns to life in 1d6 days and regains all its Hit Points. Only a Wish spell can prevent this trait from functioning. Actions Multiattack. The naga makes three attacks, using Bite or Necrotic Ray in any combination. Bite. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Piercing damage plus 14 (4d6) Poison damage. Necrotic Ray. Ranged Attack Roll: +6, range 60 ft. Hit: 21 (6d6) Necrotic damage. Spellcasting. The naga casts one of the following spells, requiring no Somatic or Material components and using Intelligence as the spellcasting ability (spell save DC 14): At Will: Detect Magic, Mage Hand, Minor Illusion, Water Breathing 2/Day Each: Detect Thoughts, Dimension Door, Hold Person (level 3 version), Lightning Bolt (level 4 version)",SRD 5.2.1 p. 329
9,Clay Golem,Construct,Large,Unaligned,14,123 (13d10 + 52),30 ft.,3,"{""str"":{""score"":20,""mod"":5,""save"":5},""dex"":{""score"":9,""mod"":-1,""save"":-1},""con"":{""score"":18,""mod"":4,""save"":4},""int"":{""score"":3,""mod"":-4,""save"":-4},""wis"":{""score"":8,""mod"":-1,""save"":-1},""cha"":{""score"":1,""mod"":-5,""save"":-5}}",trait | unsupported-action-rider,advantage | attack-roll | damage | damage:acid | damage:bludgeoning | max-hp-change | multiattack | recharge,trait:Acid Absorption | trait:Berserk | trait:Magic Resistance | action:Multiattack | action:Slam,"Acid Absorption. Whenever the golem is subjected to Acid damage, it takes no damage and instead regains a number of Hit Points equal to the Acid damage dealt. Berserk. Whenever the golem starts its turn Bloodied, roll 1d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object. Once the golem goes berserk, it continues to be berserk until it is destroyed or it is no longer Bloodied. Immutable Form. The golem can’t shape-shift. Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects.","Multiattack. The golem makes two Slam attacks, or it makes three Slam attacks if it used Hasten this turn. Slam. Melee Attack Roll: +9, reach 5 ft. Hit: 10 (1d10 + 5) Bludgeoning damage plus 6 (1d12) Acid damage, and the target’s Hit Point maximum decreases by an amount equal to the Acid damage taken.",Hasten (Recharge 5-6). The golem takes the Dash and Disengage actions.,,,"AC 14 Initiative +3 (13) HP 123 (13d10 + 52) Speed 30 ft. MOD SAVE MOD SAVE MOD SAVE Str 20 +5 +5 Dex 9 -1 -1 Con 18 +4 +4 Int 3 -4 -4 Wis 8 -1 -1 Cha 1 -5 -5 Resistances Bludgeoning, Piercing, Slashing Immunities Acid, Poison, Psychic; Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned Senses Darkvision 60 ft.; Passive Perception 9 Languages Common plus one other language CR 9 (XP 5,000; PB +4) Traits Acid Absorption. Whenever the golem is subjected to Acid damage, it takes no damage and instead regains a number of Hit Points equal to the Acid damage dealt. Berserk. Whenever the golem starts its turn Bloodied, roll 1d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object. Once the golem goes berserk, it continues to be berserk until it is destroyed or it is no longer Bloodied. Immutable Form. The golem can’t shape-shift. Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects. Actions Multiattack. The golem makes two Slam attacks, or it makes three Slam attacks if it used Hasten this turn. Slam. Melee Attack Roll: +9, reach 5 ft. Hit: 10 (1d10 + 5) Bludgeoning damage plus 6 (1d12) Acid damage, and the target’s Hit Point maximum decreases by an amount equal to the Acid damage taken. Bonus Actions Hasten (Recharge 5-6). The golem takes the Dash and Disengage actions.",SRD 5.2.1 p. 274
9,Cloud Giant,Giant,Huge,Neutral,14,200 (16d12 + 96),"40 ft., Fly 20 ft. (hover)",4,"{""str"":{""score"":27,""mod"":8,""save"":8},""dex"":{""score"":10,""mod"":0,""save"":0},""con"":{""score"":22,""mod"":6,""save"":10},""int"":{""score"":12,""mod"":1,""save"":1},""wis"":{""score"":16,""mod"":3,""save"":7},""cha"":{""score"":16,""mod"":3,""save"":3}}",bonus-action | condition-or-control | spellcasting,attack-roll | condition:incapacitated | damage | damage:bludgeoning | damage:thunder | limited-use | multiattack | spellcasting,action:Multiattack | action:Thunderous Mace | action:Thundercloud | action:Spellcasting | bonus-action:Misty Step,,"Multiattack. The giant makes two attacks, using Thunderous Mace or Thundercloud in any combination. It can replace one attack with a use of Spellcasting to cast Fog Cloud. Thunderous Mace. Melee Attack Roll: +12, reach 10 ft. Hit: 21 (3d8 + 8) Bludgeoning damage plus 7 (2d6) Thunder damage. Thundercloud. Ranged Attack Roll: +12, range 240 ft. Hit: 18 (3d6 + 8) Thunder damage, and the target has the Incapacitated condition until the end of its next turn. Spellcasting. The giant casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15): At Will: Detect Magic, Fog Cloud, Light 1/Day Each: Control Weather, Gaseous Form, Telekinesis","Misty Step. The giant casts the Misty Step spell, using the same spellcasting ability as Spellcasting.",,,"AC 14 Initiative +4 (14) HP 200 (16d12 + 96) Speed 40 ft., Fly 20 ft. (hover) MOD SAVE MOD SAVE MOD SAVE Str 27 +8 +8 Dex 10 +0 +0 Con 22 +6 +10 Int 12 +1 +1 Wis 16 +3 +7 Cha 16 +3 +3 Skills Insight +7, Perception +11 Senses Passive Perception 21 Languages Common, Giant CR 9 (XP 5,000; PB +4) Actions Multiattack. The giant makes two attacks, using Thunderous Mace or Thundercloud in any combination. It can replace one attack with a use of Spellcasting to cast Fog Cloud. Thunderous Mace. Melee Attack Roll: +12, reach 10 ft. Hit: 21 (3d8 + 8) Bludgeoning damage plus 7 (2d6) Thunder damage. Thundercloud. Ranged Attack Roll: +12, range 240 ft. Hit: 18 (3d6 + 8) Thunder damage, and the target has the Incapacitated condition until the end of its next turn. Spellcasting. The giant casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15): At Will: Detect Magic, Fog Cloud, Light 1/Day Each: Control Weather, Gaseous Form, Telekinesis Bonus Actions Misty Step. The giant casts the Misty Step spell, using the same spellcasting ability as Spellcasting.",SRD 5.2.1 p. 275
