work_rank,monster,ready,ignored_noncombat,edge_case,unsupported_count,complexity,unsupported_families,mechanics,fingerprint
,Owl,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Panther,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Shrieker Fungus,False,True,False,0,3,,aura,aura
,Commoner,True,False,False,0,4,,advantage | attack-roll | damage | damage:bludgeoning,advantage+attack-roll+damage+damage:bludgeoning
,Worg,True,False,False,0,4,,advantage | attack-roll | damage | damage:piercing,advantage+attack-roll+damage+damage:piercing
,Berserker,True,False,False,0,4,,advantage | attack-roll | damage | damage:slashing,advantage+attack-roll+damage+damage:slashing
,Giant Crab,True,False,False,0,4,,attack-roll | condition:grappled | damage | damage:bludgeoning,attack-roll+condition:grappled+damage+damage:bludgeoning
,Giant Centipede,True,False,False,0,4,,attack-roll | condition:poisoned | damage | damage:piercing,attack-roll+condition:poisoned+damage+damage:piercing
,Elk,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:bludgeoning,attack-roll+condition:prone+damage+damage:bludgeoning
,Giant Goat,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:bludgeoning,attack-roll+condition:prone+damage+damage:bludgeoning
,Warhorse,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:bludgeoning,attack-roll+condition:prone+damage+damage:bludgeoning
,Warhorse Skeleton,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:bludgeoning,attack-roll+condition:prone+damage+damage:bludgeoning
,Mastiff,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:piercing,attack-roll+condition:prone+damage+damage:piercing
,Rhinoceros,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:piercing,attack-roll+condition:prone+damage+damage:piercing
,Tiger,True,False,False,0,4,,attack-roll | condition:prone | damage | damage:slashing,attack-roll+condition:prone+damage+damage:slashing
7,Ochre Jelly,False,False,False,1,4,reaction,attack-roll | damage | damage:acid | damage:slashing,attack-roll+damage+damage:acid+damage:slashing
,Ogre,True,False,False,0,4,,attack-roll | damage | damage:bludgeoning | damage:piercing,attack-roll+damage+damage:bludgeoning+damage:piercing
,Grimlock,True,False,False,0,4,,attack-roll | damage | damage:bludgeoning | damage:psychic,attack-roll+damage+damage:bludgeoning+damage:psychic
,Pegasus,True,False,False,0,4,,attack-roll | damage | damage:bludgeoning | damage:radiant,attack-roll+damage+damage:bludgeoning+damage:radiant
,Animated Armor,True,False,False,0,4,,attack-roll | damage | damage:bludgeoning | multiattack,attack-roll+damage+damage:bludgeoning+multiattack
,Merfolk Skirmisher,True,False,False,0,4,,attack-roll | damage | damage:cold | damage:piercing,attack-roll+damage+damage:cold+damage:piercing
,Cultist,True,False,False,0,4,,attack-roll | damage | damage:necrotic | damage:slashing,attack-roll+damage+damage:necrotic+damage:slashing
,Violet Fungus,True,False,False,0,4,,attack-roll | damage | damage:necrotic | multiattack,attack-roll+damage+damage:necrotic+multiattack
,Flying Snake,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Giant Venomous Snake,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Giant Wasp,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Giant Wolf Spider,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Scorpion,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Spider,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Spy,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Venomous Snake,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:poison,attack-roll+damage+damage:piercing+damage:poison
,Bandit,True,False,False,0,4,,attack-roll | damage | damage:piercing | damage:slashing,attack-roll+damage+damage:piercing+damage:slashing
,Archelon,True,False,False,0,4,,attack-roll | damage | damage:piercing | multiattack,attack-roll+damage+damage:piercing+multiattack
,Hippopotamus,True,False,False,0,4,,attack-roll | damage | damage:piercing | multiattack,attack-roll+damage+damage:piercing+multiattack
,Scout,True,False,False,0,4,,attack-roll | damage | damage:piercing | multiattack,attack-roll+damage+damage:piercing+multiattack
,Black Bear,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Gargoyle,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Hippogriff,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Owlbear,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Polar Bear,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Saber-Toothed Tiger,True,False,False,0,4,,attack-roll | damage | damage:slashing | multiattack,attack-roll+damage+damage:slashing+multiattack
,Bugbear Warrior,True,False,False,0,5,,advantage | attack-roll | condition:grappled | damage | damage:bludgeoning,advantage+attack-roll+condition:grappled+damage+damage:bludgeoning
,Boar,True,False,False,0,5,,advantage | attack-roll | condition:prone | damage | damage:piercing,advantage+attack-roll+condition:prone+damage+damage:piercing
,Giant Boar,True,False,False,0,5,,advantage | attack-roll | condition:prone | damage | damage:piercing,advantage+attack-roll+condition:prone+damage+damage:piercing
,Goblin Warrior,True,False,False,0,5,,advantage | attack-roll | damage | damage:piercing | damage:slashing,advantage+attack-roll+damage+damage:piercing+damage:slashing
1,Hunter Shark,False,False,False,0,5,,advantage | attack-roll | damage | damage:piercing | injured-target-advantage,advantage+attack-roll+damage+damage:piercing+injured-target-advantage
2,Piranha,False,False,False,0,5,,advantage | attack-roll | damage | damage:piercing | injured-target-advantage,advantage+attack-roll+damage+damage:piercing+injured-target-advantage
,Crocodile,True,False,False,0,5,,attack-roll | condition:grappled | condition:restrained | damage | damage:piercing,attack-roll+condition:grappled+condition:restrained+damage+damage:piercing
,Griffon,True,False,False,0,5,,attack-roll | condition:grappled | damage | damage:piercing | multiattack,attack-roll+condition:grappled+damage+damage:piercing+multiattack
,Minotaur Skeleton,True,False,False,0,5,,attack-roll | condition:prone | damage | damage:bludgeoning | damage:piercing,attack-roll+condition:prone+damage+damage:bludgeoning+damage:piercing
,Giant Elk,True,False,False,0,5,,attack-roll | condition:prone | damage | damage:bludgeoning | damage:radiant,attack-roll+condition:prone+damage+damage:bludgeoning+damage:radiant
,Ankylosaurus,True,False,False,0,5,,attack-roll | condition:prone | damage | damage:bludgeoning | multiattack,attack-roll+condition:prone+damage+damage:bludgeoning+multiattack
26,Earth Elemental,False,False,False,2,5,condition-or-control | trait,attack-roll | condition:prone | damage | damage:bludgeoning | multiattack,attack-roll+condition:prone+damage+damage:bludgeoning+multiattack
,Allosaurus,True,False,False,0,5,,attack-roll | condition:prone | damage | damage:piercing | damage:slashing,attack-roll+condition:prone+damage+damage:piercing+damage:slashing
,Triceratops,True,False,False,0,5,,attack-roll | condition:prone | damage | damage:piercing | multiattack,attack-roll+condition:prone+damage+damage:piercing+multiattack
27,Gray Ooze,False,False,False,2,5,spellcasting | trait,attack-roll | damage | damage:acid | flat-modifier,attack-roll+damage+damage:acid+flat-modifier
,Bandit Captain,True,False,False,0,5,,attack-roll | damage | damage:piercing | damage:slashing | multiattack,attack-roll+damage+damage:piercing+damage:slashing+multiattack
,Guard Captain,True,False,False,0,5,,attack-roll | damage | damage:piercing | damage:slashing | multiattack,attack-roll+damage+damage:piercing+damage:slashing+multiattack
,Manticore,True,False,False,0,5,,attack-roll | damage | damage:piercing | damage:slashing | multiattack,attack-roll+damage+damage:piercing+damage:slashing+multiattack
,Warrior Veteran,True,False,False,0,5,,attack-roll | damage | damage:piercing | damage:slashing | multiattack,attack-roll+damage+damage:piercing+damage:slashing+multiattack
28,Giant Hyena,False,False,False,2,5,bonus-action | limited-use,attack-roll | damage | damage:piercing | limited-use,attack-roll+damage+damage:piercing+limited-use
29,Gnoll Warrior,False,False,False,2,5,bonus-action | limited-use,attack-roll | damage | damage:piercing | limited-use,attack-roll+damage+damage:piercing+limited-use
,Blink Dog,True,False,False,0,5,,attack-roll | damage | damage:piercing | recharge,attack-roll+damage+damage:piercing+recharge
,Giant Eagle,True,False,False,0,5,,attack-roll | damage | damage:radiant | damage:slashing | multiattack,attack-roll+damage+damage:radiant+damage:slashing+multiattack
3,Giant Shark,False,False,False,0,6,,advantage | attack-roll | damage | damage:piercing | injured-target-advantage | multiattack,advantage+attack-roll+damage+damage:piercing+injured-target-advantage+multiattack
8,Animated Rug of Smothering,False,False,False,1,6,condition-or-control,attack-roll | condition:blinded | condition:grappled | condition:restrained | damage | damage:bludgeoning,attack-roll+condition:blinded+condition:grappled+condition:restrained+damage+damage:bludgeoning
,Grick,True,False,False,0,6,,attack-roll | condition:grappled | damage | damage:piercing | damage:slashing | multiattack,attack-roll+condition:grappled+damage+damage:piercing+damage:slashing+multiattack
,Hill Giant,True,False,False,0,6,,attack-roll | condition:poisoned | condition:prone | damage | damage:bludgeoning | multiattack,attack-roll+condition:poisoned+condition:prone+damage+damage:bludgeoning+multiattack
,Wyvern,True,False,False,0,6,,attack-roll | condition:poisoned | damage | damage:piercing | damage:poison | multiattack,attack-roll+condition:poisoned+damage+damage:piercing+damage:poison+multiattack
,Merrow,True,False,False,0,6,,attack-roll | condition:poisoned | damage | damage:piercing | damage:slashing | multiattack,attack-roll+condition:poisoned+damage+damage:piercing+damage:slashing+multiattack
,Brown Bear,True,False,False,0,6,,attack-roll | condition:prone | damage | damage:piercing | damage:slashing | multiattack,attack-roll+condition:prone+damage+damage:piercing+damage:slashing+multiattack
77,Black Pudding,False,False,False,3,6,reaction | spellcasting | trait,attack-roll | damage | damage:acid | damage:slashing | flat-modifier,attack-roll+damage+damage:acid+damage:slashing+flat-modifier
,Ape,True,False,False,0,6,,attack-roll | damage | damage:bludgeoning | multiattack | recharge,attack-roll+damage+damage:bludgeoning+multiattack+recharge
,Knight,True,False,False,0,6,,attack-roll | damage | damage:piercing | damage:radiant | damage:slashing | multiattack,attack-roll+damage+damage:piercing+damage:radiant+damage:slashing+multiattack
,Nightmare,True,False,False,0,7,,attack-roll | aura | damage | damage:bludgeoning | damage:fire,attack-roll+aura+damage+damage:bludgeoning+damage:fire
9,Roper,False,False,False,1,7,condition-or-control,attack-roll | condition:grappled | condition:poisoned | damage | damage:piercing | damage:psychic | multiattack,attack-roll+condition:grappled+condition:poisoned+damage+damage:piercing+damage:psychic+multiattack
78,Giant Octopus,False,False,False,3,7,condition-or-control | limited-use | reaction,attack-roll | condition:grappled | condition:restrained | damage | damage:bludgeoning | limited-use,attack-roll+condition:grappled+condition:restrained+damage+damage:bludgeoning+limited-use
,Giant Scorpion,True,False,False,0,7,,attack-roll | condition:grappled | damage | damage:bludgeoning | damage:piercing | damage:poison | multiattack,attack-roll+condition:grappled+damage+damage:bludgeoning+damage:piercing+damage:poison+multiattack
30,Homunculus,False,False,False,2,7,condition-or-control | save-or-complex-action,attack-roll | condition:poisoned | condition:unconscious | damage | damage:piercing | saving-throw,attack-roll+condition:poisoned+condition:unconscious+damage+damage:piercing+saving-throw
,Ettin,True,False,False,0,7,,attack-roll | condition:prone | damage | damage:piercing | damage:slashing | disadvantage | multiattack,attack-roll+condition:prone+damage+damage:piercing+damage:slashing+disadvantage+multiattack
,Fire Giant,True,False,False,0,7,,attack-roll | damage | damage:bludgeoning | damage:fire | damage:slashing | disadvantage | multiattack,attack-roll+damage+damage:bludgeoning+damage:fire+damage:slashing+disadvantage+multiattack
,Swarm of Bats,True,False,False,0,7,,attack-roll | damage | damage:piercing | healing | temporary-hp,attack-roll+damage+damage:piercing+healing+temporary-hp
,Swarm of Rats,True,False,False,0,7,,attack-roll | damage | damage:piercing | healing | temporary-hp,attack-roll+damage+damage:piercing+healing+temporary-hp
,Swarm of Insects,True,False,False,0,7,,attack-roll | damage | damage:poison | healing | temporary-hp,attack-roll+damage+damage:poison+healing+temporary-hp
10,Shadow,False,False,False,1,8,ability-score-change,ability-score-change | attack-roll | damage | damage:necrotic | disadvantage,ability-score-change+attack-roll+damage+damage:necrotic+disadvantage
,Baboon,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Blood Hawk,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Giant Rat,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Hyena,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Reef Shark,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Vulture,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
,Warrior Infantry,True,False,False,0,8,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing
4,Mimic,False,False,False,0,8,,advantage | attack-roll | condition:grappled | damage | damage:acid | damage:bludgeoning | damage:piercing | disadvantage,advantage+attack-roll+condition:grappled+damage+damage:acid+damage:bludgeoning+damage:piercing+disadvantage
11,Barbed Devil,False,False,False,1,8,trait,advantage | attack-roll | condition:grappled | damage | damage:fire | damage:piercing | damage:slashing | multiattack,advantage+attack-roll+condition:grappled+damage+damage:fire+damage:piercing+damage:slashing+multiattack
,Azer Sentinel,True,False,False,0,8,,attack-roll | aura | condition:incapacitated | damage | damage:bludgeoning | damage:fire,attack-roll+aura+condition:incapacitated+damage+damage:bludgeoning+damage:fire
31,Octopus,False,False,False,2,8,limited-use | reaction,attack-roll | aura | damage | damage:bludgeoning | limited-use,attack-roll+aura+damage+damage:bludgeoning+limited-use
12,Fire Elemental,False,False,False,1,8,trait,attack-roll | aura | damage | damage:cold | damage:fire | multiattack,attack-roll+aura+damage+damage:cold+damage:fire+multiattack
,Xorn,True,False,False,0,8,,attack-roll | aura | damage | damage:piercing | damage:slashing | multiattack,attack-roll+aura+damage+damage:piercing+damage:slashing+multiattack
32,Giant Frog,False,False,False,2,8,condition-or-control | unsupported-action-rider,attack-roll | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:piercing,attack-roll+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:piercing
,Giant Crocodile,True,False,False,0,8,,attack-roll | condition:grappled | condition:prone | condition:restrained | damage | damage:bludgeoning | damage:piercing | multiattack,attack-roll+condition:grappled+condition:prone+condition:restrained+damage+damage:bludgeoning+damage:piercing+multiattack
,Tyrannosaurus Rex,True,False,False,0,8,,attack-roll | condition:grappled | condition:prone | condition:restrained | damage | damage:bludgeoning | damage:piercing | multiattack,attack-roll+condition:grappled+condition:prone+condition:restrained+damage+damage:bludgeoning+damage:piercing+multiattack
33,Minotaur of Baphomet,False,False,False,2,8,condition-or-control | limited-use,attack-roll | condition:prone | damage | damage:necrotic | damage:piercing | damage:slashing | recharge,attack-roll+condition:prone+damage+damage:necrotic+damage:piercing+damage:slashing+recharge
,Swarm of Crawling Claws,True,False,False,0,8,,attack-roll | condition:prone | damage | damage:necrotic | healing | temporary-hp,attack-roll+condition:prone+damage+damage:necrotic+healing+temporary-hp
,Ogre Zombie,True,False,False,0,8,,attack-roll | damage | damage:bludgeoning | saving-throw | zero-hp-effect,attack-roll+damage+damage:bludgeoning+saving-throw+zero-hp-effect
,Zombie,True,False,False,0,8,,attack-roll | damage | damage:bludgeoning | saving-throw | zero-hp-effect,attack-roll+damage+damage:bludgeoning+saving-throw+zero-hp-effect
,Magmin,True,False,False,0,8,,attack-roll | damage | damage:fire | death-trigger | saving-throw,attack-roll+damage+damage:fire+death-trigger+saving-throw
34,Specter,False,False,False,2,8,trait | unsupported-action-rider,attack-roll | damage | damage:force | damage:necrotic | disadvantage | max-hp-change,attack-roll+damage+damage:force+damage:necrotic+disadvantage+max-hp-change
,Swarm of Venomous Snakes,True,False,False,0,8,,attack-roll | damage | damage:piercing | damage:poison | healing | temporary-hp,attack-roll+damage+damage:piercing+damage:poison+healing+temporary-hp
117,Half-Dragon,False,False,False,4,8,defense-clause | limited-use | save-or-complex-action | trait,attack-roll | damage | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:slashing+multiattack+recharge+saving-throw
,Giant Vulture,True,False,False,0,9,,advantage | attack-roll | aura | condition:incapacitated | condition:poisoned | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+condition:poisoned+damage+damage:piercing
,Dire Wolf,True,False,False,0,9,,advantage | attack-roll | aura | condition:incapacitated | condition:prone | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+condition:prone+damage+damage:piercing
,Wolf,True,False,False,0,9,,advantage | attack-roll | aura | condition:incapacitated | condition:prone | damage | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+condition:prone+damage+damage:piercing
,Tough,True,False,False,0,9,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:bludgeoning | damage:piercing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:bludgeoning+damage:piercing
,Kobold Warrior,True,False,False,0,9,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing | disadvantage,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing+disadvantage
,Goblin Boss,True,False,False,0,9,,advantage | attack-roll | aura | damage | damage:piercing | damage:slashing | multiattack,advantage+attack-roll+aura+damage+damage:piercing+damage:slashing+multiattack
,Sahuagin Warrior,True,False,False,0,9,,advantage | attack-roll | aura | damage | damage:slashing | injured-target-advantage | multiattack,advantage+attack-roll+aura+damage+damage:slashing+injured-target-advantage+multiattack
,Hezrou,True,False,False,0,9,,advantage | attack-roll | condition:poisoned | damage | damage:poison | damage:slashing | multiattack | saving-throw,advantage+attack-roll+condition:poisoned+damage+damage:poison+damage:slashing+multiattack+saving-throw
13,Imp,False,False,False,1,9,spellcasting,advantage | attack-roll | damage | damage:piercing | damage:poison | spellcasting,advantage+attack-roll+damage+damage:piercing+damage:poison+spellcasting
5,Swarm of Piranhas,False,False,False,0,9,,advantage | attack-roll | damage | damage:piercing | healing | injured-target-advantage | temporary-hp,advantage+attack-roll+damage+damage:piercing+healing+injured-target-advantage+temporary-hp
79,Dretch,False,False,False,3,9,condition-or-control | limited-use | save-or-complex-action,attack-roll | bonus-action | condition:poisoned | damage | damage:slashing | limited-use | saving-throw,attack-roll+bonus-action+condition:poisoned+damage+damage:slashing+limited-use+saving-throw
35,Copper Dragon Wyrmling,False,False,False,2,9,limited-use | save-or-complex-action,attack-roll | bonus-action | damage | damage:acid | damage:slashing | recharge | saving-throw,attack-roll+bonus-action+damage+damage:acid+damage:slashing+recharge+saving-throw
14,Giant Toad,False,False,False,1,9,condition-or-control,attack-roll | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:piercing | damage:poison,attack-roll+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:piercing+damage:poison
80,Invisible Stalker,False,False,False,3,9,save-or-complex-action | spellcasting | trait,attack-roll | condition:grappled | condition:invisible | damage | damage:force | damage:thunder | multiattack | saving-throw,attack-roll+condition:grappled+condition:invisible+damage+damage:force+damage:thunder+multiattack+saving-throw
81,Roc,False,False,False,3,9,bonus-action | condition-or-control | limited-use,attack-roll | condition:grappled | condition:restrained | damage | damage:piercing | damage:slashing | multiattack | recharge,attack-roll+condition:grappled+condition:restrained+damage+damage:piercing+damage:slashing+multiattack+recharge
36,Assassin,False,False,False,2,9,condition-or-control | trait,attack-roll | condition:incapacitated | condition:poisoned | damage | damage:piercing | damage:poison | multiattack | saving-throw,attack-roll+condition:incapacitated+condition:poisoned+damage+damage:piercing+damage:poison+multiattack+saving-throw
,Ghoul,True,False,False,0,9,,attack-roll | condition:paralyzed | damage | damage:necrotic | damage:piercing | damage:slashing | multiattack | saving-throw,attack-roll+condition:paralyzed+damage+damage:necrotic+damage:piercing+damage:slashing+multiattack+saving-throw
82,Air Elemental,False,False,False,3,9,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:prone | damage | damage:thunder | multiattack | recharge | saving-throw,attack-roll+condition:prone+damage+damage:thunder+multiattack+recharge+saving-throw
,Black Dragon Wyrmling,True,False,False,0,9,,attack-roll | damage | damage:acid | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:acid+damage:slashing+multiattack+recharge+saving-throw
,Young Black Dragon,True,False,False,0,9,,attack-roll | damage | damage:acid | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:acid+damage:slashing+multiattack+recharge+saving-throw
,White Dragon Wyrmling,True,False,False,0,9,,attack-roll | damage | damage:cold | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:cold+damage:slashing+multiattack+recharge+saving-throw
,Young White Dragon,True,False,False,0,9,,attack-roll | damage | damage:cold | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:cold+damage:slashing+multiattack+recharge+saving-throw
15,Hydra,False,False,False,1,9,trait,attack-roll | damage | damage:fire | damage:piercing | healing | multiattack | reaction,attack-roll+damage+damage:fire+damage:piercing+healing+multiattack+reaction
,Red Dragon Wyrmling,True,False,False,0,9,,attack-roll | damage | damage:fire | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:fire+damage:slashing+multiattack+recharge+saving-throw
,Young Red Dragon,True,False,False,0,9,,attack-roll | damage | damage:fire | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:fire+damage:slashing+multiattack+recharge+saving-throw
,Blue Dragon Wyrmling,True,False,False,0,9,,attack-roll | damage | damage:lightning | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:lightning+damage:slashing+multiattack+recharge+saving-throw
,Young Blue Dragon,True,False,False,0,9,,attack-roll | damage | damage:lightning | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:lightning+damage:slashing+multiattack+recharge+saving-throw
,Green Dragon Wyrmling,True,False,False,0,9,,attack-roll | damage | damage:poison | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:poison+damage:slashing+multiattack+recharge+saving-throw
,Young Green Dragon,True,False,False,0,9,,attack-roll | damage | damage:poison | damage:slashing | multiattack | recharge | saving-throw,attack-roll+damage+damage:poison+damage:slashing+multiattack+recharge+saving-throw
,Giant Owl,True,False,False,0,9,,attack-roll | damage | damage:slashing | limited-use | spellcasting,attack-roll+damage+damage:slashing+limited-use+spellcasting
,Tough Boss,True,False,False,0,10,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:bludgeoning | damage:piercing | multiattack,advantage+attack-roll+aura+condition:incapacitated+damage+damage:bludgeoning+damage:piercing+multiattack
,Hobgoblin Warrior,True,False,False,0,10,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing | damage:poison | damage:slashing,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing+damage:poison+damage:slashing
,Satyr,True,False,False,0,10,,advantage | attack-roll | aura | damage | damage:bludgeoning | damage:psychic | saving-throw,advantage+attack-roll+aura+damage+damage:bludgeoning+damage:psychic+saving-throw
