capability_id,observed_on_raw_ready,parse_error,complexity,source_ability_count,monster_count,ready_monster_count,blocked_monster_count,mechanics,sections,source_names,exact_fingerprints,ready_monsters,blocked_monsters
aura+damage+damage:typed+saving-throw,True,False,7,11,11,1,10,aura | damage | damage:cold | damage:fire | damage:lightning | damage:necrotic | damage:piercing | damage:psychic | damage:radiant | saving-throw,action | legendary-action,Freezing Burst | Giggling Magic | Holy Burst | Infernal Tail | Lightning Strike | Mockery | Scorching Sands | Slaying Bow,aura+damage+damage:cold+saving-throw | aura+damage+damage:fire+saving-throw | aura+damage+damage:lightning+saving-throw | aura+damage+damage:necrotic+saving-throw | aura+damage+damage:piercing+damage:radiant+saving-throw | aura+damage+damage:psychic+saving-throw | aura+damage+damage:radiant+saving-throw,Satyr,Adult Brass Dragon | Adult Copper Dragon | Adult White Dragon | Ancient Brass Dragon | Ancient Copper Dragon | Ancient White Dragon | Horned Devil | Kraken | Planetar | Solar
concentration+limited-use+spellcasting+temporary-hp+transformation,False,False,18,10,10,0,10,concentration | limited-use | spellcasting | temporary-hp | transformation,action,Spellcasting,concentration+limited-use+spellcasting+temporary-hp+transformation,,Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Silver Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Silver Dragon | Couatl | Deva
immunity,True,False,1,14,14,5,9,immunity,statblock,Damage Defenses,immunity,Werebear | Wereboar | Wererat | Weretiger | Werewolf,Chain Devil | Cloaker | Ghast | Ghost | Harpy | Mummy | Nalfeshnee | Pit Fiend | Sea Hag
attack-roll+condition:grappled+damage+damage:typed,True,False,4,14,14,7,7,attack-roll | condition:grappled | damage | damage:bludgeoning | damage:necrotic | damage:piercing | damage:poison | damage:slashing,action,Bite | Claw | Claws | Grab | Grave Strike (Vampire Form Only) | Pincer | Rend | Tentacle | Tentacles,attack-roll+condition:grappled+damage+damage:bludgeoning | attack-roll+condition:grappled+damage+damage:bludgeoning+damage:necrotic | attack-roll+condition:grappled+damage+damage:piercing | attack-roll+condition:grappled+damage+damage:piercing+damage:poison | attack-roll+condition:grappled+damage+damage:slashing,Bugbear Warrior | Giant Crab | Giant Frog | Giant Scorpion | Giant Toad | Grick | Griffon,Aboleth | Barbed Devil | Chuul | Glabrezu | Otyugh | Vampire | Vampire Spawn
attack-roll+condition:grappled+condition:restrained+damage+damage:typed,True,False,5,10,10,3,7,attack-roll | condition:grappled | condition:restrained | damage | damage:bludgeoning | damage:fire | damage:piercing | damage:slashing,action,Bite | Chain | Talons | Tentacle | Tentacles,attack-roll+condition:grappled+condition:restrained+damage+damage:bludgeoning | attack-roll+condition:grappled+condition:restrained+damage+damage:fire+damage:piercing | attack-roll+condition:grappled+condition:restrained+damage+damage:piercing | attack-roll+condition:grappled+condition:restrained+damage+damage:slashing,Crocodile | Giant Crocodile | Tyrannosaurus Rex,Chain Devil | Giant Octopus | Kraken | Purple Worm | Remorhaz | Roc | Tarrasque
attack-roll+condition:prone+damage+damage:typed,True,False,4,35,35,29,6,attack-roll | condition:prone | damage | damage:bludgeoning | damage:fire | damage:force | damage:necrotic | damage:piercing | damage:radiant | damage:slashing | damage:thunder,action,Battleaxe | Bite | Boulder | Claw | Claws | Flame Whip | Gore | Hooves | Ram | Rend | Rock Launch | Slam | Storm Bolt | Swarm of Grasping Hands | Tail | Tree Club | Tusk (Boar or Hybrid Form Only),attack-roll+condition:prone+damage+damage:bludgeoning | attack-roll+condition:prone+damage+damage:bludgeoning+damage:radiant | attack-roll+condition:prone+damage+damage:fire+damage:force | attack-roll+condition:prone+damage+damage:necrotic | attack-roll+condition:prone+damage+damage:piercing | attack-roll+condition:prone+damage+damage:slashing | attack-roll+condition:prone+damage+damage:thunder,Allosaurus | Ankylosaurus | Boar | Brown Bear | Chimera | Dire Wolf | Dragon Turtle | Earth Elemental | Elephant | Elk | Ettin | Giant Boar | Giant Crocodile | Giant Elk | Giant Goat | Hill Giant | Mammoth | Mastiff | Minotaur Skeleton | Rhinoceros | Swarm of Crawling Claws | Tiger | Triceratops | Tyrannosaurus Rex | Warhorse | Warhorse Skeleton | Wereboar | Winter Wolf | Wolf,Balor | Djinni | Gorgon | Stone Giant | Tarrasque | Water Elemental
damage,True,False,1,6,6,1,5,damage,trait,Draconic Origin | Siege Monster | Undead Restoration,damage,Earth Elemental,Half-Dragon | Kraken | Mummy Lord | Tarrasque | Treant
aura+damage+damage:typed,False,False,5,5,5,0,5,aura | damage | damage:fire | damage:necrotic,legendary-action | trait,Deathly Teleport | Fire Aura | Heat Aura,aura+damage+damage:fire | aura+damage+damage:necrotic,,Balor | Fire Elemental | Lich | Remorhaz | Salamander
attack-roll+condition:poisoned+damage+damage:typed,True,False,4,9,9,5,4,attack-roll | condition:poisoned | damage | damage:bludgeoning | damage:piercing | damage:poison | damage:slashing,action,Bite | Gouge | Rend | Shortsword | Sting | Trash Lob,attack-roll+condition:poisoned+damage+damage:bludgeoning | attack-roll+condition:poisoned+damage+damage:piercing | attack-roll+condition:poisoned+damage+damage:piercing+damage:poison | attack-roll+condition:poisoned+damage+damage:slashing,Giant Centipede | Giant Vulture | Hill Giant | Merrow | Wyvern,Assassin | Couatl | Ettercap | Quasit
damage+damage:typed+death-trigger+saving-throw,True,False,7,6,6,2,4,damage | damage:bludgeoning | damage:cold | damage:fire | damage:force | death-trigger | saving-throw,trait,Death Burst | Death Throes,damage+damage:bludgeoning+death-trigger+saving-throw | damage+damage:cold+death-trigger+saving-throw | damage+damage:fire+damage:force+death-trigger+saving-throw | damage+damage:fire+death-trigger+saving-throw,Magma Mephit | Magmin,Balor | Dust Mephit | Ice Mephit | Steam Mephit
bonus-action+saving-throw,False,False,3,4,4,0,4,bonus-action | saving-throw,action,Slowing Breath,bonus-action+saving-throw,,Adult Copper Dragon | Ancient Copper Dragon | Copper Dragon Wyrmling | Young Copper Dragon
damage+damage:typed+saving-throw,False,False,4,4,4,0,4,damage | damage:cold | damage:necrotic | damage:radiant | saving-throw,legendary-action,Cold Gale | Disrupt Life | Radiant Teleport,damage+damage:cold+saving-throw | damage+damage:necrotic+saving-throw | damage+damage:radiant+saving-throw,,Adult Silver Dragon | Ancient Silver Dragon | Lich | Solar
recharge+spellcasting,False,False,6,4,4,0,4,recharge | spellcasting,action | bonus-action,Hellfire Spellcasting (Recharge 4-6) | Ice Wall (Recharge 6) | Magic of the Spider Queen (Recharge 5-6) | Slow (Recharge 5-6),recharge+spellcasting,,Drider | Ice Devil | Pit Fiend | Stone Golem
aura+spellcasting,False,False,7,4,4,0,4,aura | spellcasting,trait,Coven Magic | Spell Storing,aura+spellcasting,,Green Hag | Night Hag | Sea Hag | Shield Guardian
condition:incapacitated+condition:paralyzed+repeat-save+saving-throw,False,False,7,4,4,0,4,condition:incapacitated | condition:paralyzed | repeat-save | saving-throw,action,Paralyzing Breath,condition:incapacitated+condition:paralyzed+repeat-save+saving-throw,,Adult Silver Dragon | Ancient Silver Dragon | Silver Dragon Wyrmling | Young Silver Dragon
aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:typed+saving-throw,False,False,11,4,4,0,4,aura | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:fire | saving-throw,bonus-action,Swallow,aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:fire+saving-throw | aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+saving-throw,,Behir | Purple Worm | Remorhaz | Tarrasque
aura+condition:incapacitated+condition:unconscious+damage+repeat-save+saving-throw,False,False,11,4,4,0,4,aura | condition:incapacitated | condition:unconscious | damage | repeat-save | saving-throw,action,Sleep Breath,aura+condition:incapacitated+condition:unconscious+damage+repeat-save+saving-throw,,Adult Brass Dragon | Ancient Brass Dragon | Brass Dragon Wyrmling | Young Brass Dragon
attack-roll,True,False,1,9,9,6,3,attack-roll,reaction | trait,Parry | Reflective Carapace | Riposte,attack-roll,Bandit Captain | Gladiator | Knight | Marilith | Noble | Warrior Veteran,Erinyes | Pirate Captain | Tarrasque
disadvantage,True,False,1,7,7,4,3,disadvantage,trait,Light Sensitivity | Sunlight Sensitivity | Sunlight Weakness,disadvantage,Kobold Warrior | Shadow | Specter | Wraith,Cloaker | Drider | Wight
aura+condition:grappled+condition:restrained+damage+damage:typed+saving-throw,True,False,9,4,4,1,3,aura | condition:grappled | condition:restrained | damage | damage:bludgeoning | damage:fire | saving-throw,action,Constrict,aura+condition:grappled+condition:restrained+damage+damage:bludgeoning+damage:fire+saving-throw | aura+condition:grappled+condition:restrained+damage+damage:bludgeoning+saving-throw,Marilith,Behir | Couatl | Salamander
damage+damage:typed+disadvantage,False,False,3,3,3,0,3,damage | damage:fire | damage:radiant | disadvantage,trait,Aversion to Fire | Sunlight,damage+damage:fire+disadvantage | damage+damage:radiant+disadvantage,,Flesh Golem | Vampire | Vampire Spawn
damage+limited-use,False,False,3,3,3,0,3,damage | limited-use,bonus-action | reaction,Ink Cloud (1/Day) | Rampage (1/Day),damage+limited-use,,Giant Hyena | Giant Octopus | Gnoll Warrior
aura+saving-throw,False,False,5,3,3,0,3,aura | saving-throw,action | legendary-action,Heart Sight | Weight of Years,aura+saving-throw,,Sphinx of Lore | Sphinx of Valor | Sprite
condition:petrified+condition:restrained+recharge+repeat-save+saving-throw,False,False,9,3,3,0,3,condition:petrified | condition:restrained | recharge | repeat-save | saving-throw,action | bonus-action,Petrifying Breath (Recharge 5-6) | Petrifying Gaze (Recharge 4-6) | Petrifying Gaze (Recharge 5-6),condition:petrified+condition:restrained+recharge+repeat-save+saving-throw,,Basilisk | Gorgon | Medusa
condition:prone+saving-throw,True,False,3,4,4,2,2,condition:prone | saving-throw,action,Repulsion Breath,condition:prone+saving-throw,Bronze Dragon Wyrmling | Young Bronze Dragon,Adult Bronze Dragon | Ancient Bronze Dragon
advantage+attack-roll+damage+damage:typed,True,False,4,8,6,4,2,advantage | attack-roll | damage | damage:bludgeoning | damage:piercing | damage:slashing,action,Bite | Rapier | Scimitar | Shortbow | Slam,advantage+attack-roll+damage+damage:bludgeoning | advantage+attack-roll+damage+damage:piercing | advantage+attack-roll+damage+damage:slashing,Chimera | Goblin Boss | Goblin Warrior | Worg,Doppelganger | Pirate Captain
