UNIVERSAL_ENGINE_BASELINE	monster_ready=142	monster_actionable_blocked=178	monster_deferred=10	monster_families=11	planned_hero_mechanics=376
UNIVERSAL_HERO_MECHANIC	celestial-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	celestial-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	celestial-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	celestial-resilience	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	channel-divinity	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	circle-forms	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	circle-moon-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	circle-sea-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	clairvoyant-combatant	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-3	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-4	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-5	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-6	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-7	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-8	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cleric-combat-spells-9	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cloak-of-shadows	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	clockwork-cavalcade	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	clockwork-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	combat-inspiration	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	corona-of-light	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	countercharm	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	create-thrall	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	cunning-action	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cunning-strike	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	cutting-words	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	dark-ones-blessing	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	dark-ones-own-luck	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	deflect-attacks	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	deflect-energy	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	devious-strikes	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	devotion-combat-spells-1	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	devotion-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	devotion-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	devotion-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	devotion-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	disciplined-survivor	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	divine-intervention	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	draconic-resilience	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	draconic-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	dragon-companion	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	dragon-wings	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-2	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-3	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-4	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-5	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-6	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-7	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-8	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-combat-spells-9	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	druid-spellcasting	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	elder-champion	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-hex	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-invocations	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-arcane-charge	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-eldritch-strike	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-improved-war-magic	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-spellcasting	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-war-bond	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-knight-war-magic	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	eldritch-master	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	elemental-affinity-fire	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	elemental-attunement	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	elemental-burst	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	elemental-epitome	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	elemental-fury	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	elusive	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	empowered-evocation	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	empowered-strikes	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	evocation-savant	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	faithful-steed	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	feature-choice:beastmaster-beast-of-the-land	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:blessed-strikes-divine-strike-radiant	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:circle-land-arid	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:draconic-ancestor-red	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:elemental-affinity-fire	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:elemental-fury-primal-strike-cold	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:hunter-multiattack-defense	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:hunter-prey-colossus-slayer	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:moon-beast-form-package	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:pact-of-the-blade	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:wild-heart-aspect-elephant-athletics	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:wild-heart-power-lion	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:wild-heart-rage-bear	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:zealot-divine-fury-radiant	owners=1	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feral-senses	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	fiend-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	fiend-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	fiend-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	fiend-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	fiendish-resilience	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	fleet-step	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	foe-slayer	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	font-of-inspiration	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	font-of-magic	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-combat-spells-1	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-dread-ambusher	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-iron-mind	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-shadowy-dodge	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-stalkers-flurry	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	gloom-stalker-umbral-sight	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	great-old-one-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	great-old-one-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	great-old-one-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	great-old-one-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	greater-divine-intervention	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	guided-strike	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	healing-light	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	heightened-focus	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	holy-nimbus	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	hunter-multiattack-defense	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	hunter-prey-colossus-slayer	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	hunters-lore	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	hunters-mark	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	hurl-through-hell	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	illusion-savant	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	illusory-reality	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	illusory-self	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	improved-blessed-strikes	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	improved-brutal-strike	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	improved-circle-forms	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	improved-cunning-strike	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	improved-elemental-fury	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	improved-illusions	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	improved-shadow-step	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	improved-warding-flare	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	indomitable-might	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	innate-sorcery	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	instinctive-pounce	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	intimidating-presence	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	land-arid-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	lands-aid	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	lay-on-hands	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	lunar-form	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	mage-hand-legerdemain	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	magical-cunning	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	magical-discoveries	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	magical-secrets	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	mantle-of-inspiration	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	mantle-of-majesty	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	martial-arts	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	metamagic	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	metamagic-l10	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	metamagic-l17	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	monks-focus	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	moonlight-step	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	mystic-arcanum-6	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	mystic-arcanum-7	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	mystic-arcanum-8	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	mystic-arcanum-9	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	natural-recovery	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	natures-sanctuary	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	natures-veil	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	natures-ward-fire	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	natures-wrath	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	oceanic-gift	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	open-hand-technique	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	overchannel	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	pact-magic	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	paladin-epic-boon	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	paladin-spellcasting	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	paladins-smite	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	peerless-skill	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	perfect-focus	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	persistent-rage	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	phantasmal-creatures	owners=1	classes=1	status=planned	kinds=subclass-feature
